"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5400";;;
2;"DCDC1";"MP1584_dcdc_module";1;"MP1584_module";;;
3;"R1";"R_0805_2012Metric";1;"1K";;;
4;"DCDC2";"LM2596_dcdc_module";1;"LM2596_module";;;
5;"JP1,JP2";"PinHeader_2x01_P2.54mm_Vertical";2;"Jumper_2_Open";;;
6;"R4";"R_0805_2012Metric";1;"30K";;;
7;"J5";"SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm";1;"Conn_01x02";;;
8;"R2";"R_0805_2012Metric";1;"10K";;;
9;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
10;"K1";"Relay_SPDT_Omron_G5V-1";1;"G5V-1";;;
11;"J7,J9,J8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";3;"Conn_01x02";;;
12;"R5";"R_0805_2012Metric";1;"4K7";;;
13;"D3";"LED_0805_2012Metric";1;"LED";;;
14;"J1";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"Conn_01x02";;;
15;"Q1";"SOT-23";1;"S8050 J3Y";;;
16;"K2";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SANYOU_SRD_Form_C";;;
17;"D1";"D_MiniMELF";1;"LL4148";;;
18;"J2";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05";;;
19;"R3";"R_0805_2012Metric";1;"100K";;;
