Designator,Package,Quantity,Designation
R1,R_0805_2012Metric,1,1K
"JP1,JP2",PinHeader_2x01_P2.54mm_Vertical,2,Jumper_2_Open
R4,R_0805_2012Metric,1,30K
J5,SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm,1,Conn_01x02
D2,D_SMC-RM10_Universal_Handsoldering,1,1N4007
R2,R_0805_2012Metric,1,10K
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02
K1,Relay_SPDT_Omron_G5V-1,1,G5V-1
"J7,J9,J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02
R5,R_0805_2012Metric,1,4K7
D3,LED_0805_2012Metric,1,LED
J1,SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm,1,Conn_01x02
Q1,SOT-23,1,S8050 J3Y
K2,Relay_SPDT_Finder_36.11,1,FINDER-36.11
D1,D_MiniMELF,1,1N4148
J2,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05
R3,R_0805_2012Metric,1,100K
